id,name,type,address,city,zip,CO2
109,Sargent Shriver,Elementary,12518 Greenly Dr.,Silver Spring,20906,0.758
110,Flora M. Singer,Elementary,2600 Hayden Dr.,Silver Spring,20902,0.758
111,Sligo Creek,Elementary,500 Schuyler Rd.,Silver Spring,20910,0.758
112,Snowden Farm,Elementary,22500 Sweetspire Dr.,Clarksburg,20871,1.243
113,Somerset,Elementary,5811 Warwick Pl.,Chevy Chase,20815,0.758
114,South Lake,Elementary,18201 Contour Rd.,Gaithersburg,20877,0.758
115,Stedwick,Elementary,10631 Stedwick Rd.,Montgomery Village,20886,1.001
116,Stone Mill,Elementary,14323 Stonebridge View Dr.,North Potomac,20878,0.758
117,Stonegate,Elementary,14811 Notley Rd.,Silver Spring,20905,0.758
118,Strathmore,Elementary,3200 Beaverwood Lane,Silver Spring,20906,0.758
119,Strawberry Knoll,Elementary,18820 Strawberry Knoll Rd.,Gaithersburg,20879,0.758
120,Summit Hall,Elementary,101 West Deer Park Rd.,Gaithersburg,20877,0.758
121,Takoma Park,Elementary,7511 Holly Ave.,Takoma Park,20912,0.758
122,Travilah,Elementary,13801 DuFief Mill Rd.,North Potomac,20878,0.758
123,Twinbrook,Elementary,5911 Ridgway Ave.,Rockville,20851,0.758
124,Viers Mill,Elementary,11711 Joseph Mill Rd.,Silver Spring,20906,0.758
125,Washington Grove,Elementary,8712 Oakmont St.,Gaithersburg,20877,0.758
126,Waters Landing,Elementary,13100 Waters Landing Dr.,Germantown,20874,1.001
127,Watkins Mill,Elementary,19001 Watkins Mill Rd.,Montgomery Village,20886,1.001
128,Wayside,Elementary,10011 Glen Rd.,Potomac,20854,0.758
129,Weller Road,Elementary,3301 Weller Rd.,Silver Spring,20906,0.758
130,Westbrook,Elementary,5110 Allan Terr.,Bethesda,20816,0.758
131,Westover,Elementary,401 Hawkesbury Lane,Silver Spring,20904,0.758
132,Wheaton Woods,Elementary,4510 Faroe Pl.,Rockville,20853,0.758
133,Whetstone,Elementary,19201 Thomas Farm Rd.,Gaithersburg,20879,0.758
134,Wilson Wims,Elementary,12520 Blue Sky Dr.,Clarksburg,20871,1.243
135,Wood Acres,Elementary,5800 Cromwell Dr.,Bethesda,20816,0.758
136,Woodfield,Elementary,24200 Woodfield Rd.,Gaithersburg,20882,1.001
137,Woodlin,Elementary,2101 Luzerne Ave.,Silver Spring,20910,0.758
138,Wyngate,Elementary,9300 Wadsworth Dr.,Bethesda,20817,0.758
139,Argyle,Middle,2400 Bel Pre Rd.,Silver Spring,20906,0.758
140,John T. Baker,Middle,25400 Oak Dr.,Damascus,20872,1.243
141,Benjamin Banneker,Middle,14800 Perrywood Dr.,Burtonsville,20866,0.758
142,Briggs Chaney,Middle,1901 Rainbow Dr.,Silver Spring,20905,0.758
143,Cabin John,Middle,10701 Gainsborough Rd.,Potomac,20854,0.758
144,Roberto W. Clemente,Middle,18808 Waring Station Rd.,Germantown,20874,1.001
145,Eastern,Middle,300 University Blvd. East,Silver Spring,20901,0.758
146,William H. Farquhar,Middle,17017 Batchellors Forest Rd.,Olney,20832,0.758
147,Forest Oak,Middle,651 Saybrooke Oaks Blvd.,Gaithersburg,20877,0.758
148,Robert Frost,Middle,9201 Scott Dr.,Rockville,20850,0.758
149,Gaithersburg,Middle,2 Teachersâ€™ Way,Gaithersburg,20877,0.758
150,Herbert Hoover,Middle,8810 Postoak Rd.,Potomac,20854,0.758
151,Francis Scott Key,Middle,910 Schindler Dr.,Silver Spring,20903,0.758
152,Dr. Martin Luther King,Middle,13737 Wisteria Dr.,Germantown,20874,1.001
153,Kingsview,Middle,18909 Kingsview Rd.,Germantown,20874,1.001
154,Lakelands Park,Middle,1200 Main St.,Gaithersburg,20878,0.758
155,Col. E. Brooke Lee,Middle,11800 Monticello Ave.,Silver Spring,20902,0.758
156,A. Mario Loiederman,Middle,12701 Goodhill Rd.,Silver Spring,20906,0.758
157,Montgomery Village,Middle,19300 Watkins Mill Rd.,Montgomery Village,20886,1.001
158,Neelsville,Middle,11700 Neelsville Church Rd.,Germantown,20876,1.001
159,Newport Mill,Middle,11311 Newport Mill Rd.,Kensington,20895,0.758
160,North Bethesda,Middle,8935 Bradmoor Dr.,Bethesda,20817,0.758
161,Parkland,Middle,4610 West Frankfort Dr.,Rockville,20853,0.758
162,Rosa M. Parks,Middle,19200 Olney Mill Rd.,Olney,20832,0.758
163,John Poole,Middle,17014 Tom Fox Ave.,Poolesville,20837,1.001
164,Thomas W. Pyle,Middle,6311 Wilson Lane,Bethesda,20817,0.758
165,Redland,Middle,6505 Muncaster Mill Rd.,Rockville,20855,0.758
166,Ridgeview,Middle,16600 Raven Rock Dr.,Gaithersburg,20878,0.758
167,Rocky Hill,Middle,22401 Brick Haven Way,Clarksburg,20871,1.243
168,Shady Grove,Middle,8100 Midcounty Hwy.,Gaithersburg,20877,0.758
169,Silver Creek,Middle,3701 Saul Rd.,Kensington,20895,0.758
170,Silver Spring International,Middle,313 Wayne Ave.,Silver Spring,20910,0.758
171,Sligo,Middle,1401 Dennis Ave.,Silver Spring,20902,0.758
172,Takoma Park,Middle,7611 Piney Branch Rd.,Silver Spring,20910,0.758
173,Tilden,Middle,11211 Old Georgetown Rd.,Rockville,20852,0.758
174,Hallie Wells,Middle,11701 Little Seneca Parkway,Clarksburg,20871,1.243
175,Julius West,Middle,651 Great Falls Rd.,Rockville,20850,0.758
176,Westland,Middle,5511 Massachusetts Ave.,Bethesda,20816,0.758
177,White Oak,Middle,12201 New Hampshire Ave.,Silver Spring,20904,0.758
178,Earle B. Wood,Middle,14615 Bauer Dr.,Rockville,20853,0.758
179,Bethesdaâ€‘Chevy Chase,High,4301 Eastâ€‘West Hwy.,Bethesda,20814,0.758
180,Montgomery Blair,High,51 University Blvd. East,Silver Spring,20901,0.758
181,James Hubert Blake,High,300 Norwood Rd.,Silver Spring,20905,0.758
182,Winston Churchill,High,11300 Gainsborough Rd.,Potomac,20854,0.758
183,Clarksburg,High,22500 Wims Rd.,Clarksburg,20871,1.243
184,Damascus,High,25921 Ridge Rd.,Damascus,20872,1.243
185,Albert Einstein,High,11135 Newport Mill Rd.,Kensington,20895,0.758
186,Gaithersburg,High,101 Education Boulevard,Gaithersburg,20877,0.758
187,Walter Johnson,High,6400 Rock Spring Dr.,Bethesda,20814,0.758
188,John F. Kennedy,High,1901 Randolph Rd.,Silver Spring,20902,0.758
189,Col. Zadok Magruder,High,5939 Muncaster Mill Rd.,Rockville,20855,0.758
190,Richard Montgomery,High,250 Richard Montgomery Dr.,Rockville,20852,0.758
191,Northwest,High,13501 Richter Farm Rd.,Germantown,20874,1.001
192,Northwood,High,919 University Blvd. West,Silver Spring,20901,0.758
193,Paint Branch,High,14121 Old Columbia Pike,Burtonsville,20866,0.758
194,Poolesville,High,17501 West Willard Rd.,Poolesville,20837,1.001
195,Quince Orchard,High,15800 Quince Orchard Rd.,Gaithersburg,20878,0.758
196,Rockville,High,2100 Baltimore Rd.,Rockville,20851,0.758
197,Seneca Valley,High,19401 Crystal Rock Dr.,Germantown,20874,1.001
198,Sherwood,High,300 Olneyâ€‘Sandy Spring Rd.,Sandy,20860,0.758
199,Springbrook,High,201 Valleybrook Dr.,Silver Spring,20904,0.758
200,Watkins Mill,High,10301 Apple Ridge Rd.,Gaithersburg,20879,0.758
201,Wheaton,High,12401 Dalewood Dr.,Silver Spring,20906,0.758
202,Walt Whitman,High,7100 Whittier Blvd.,Bethesda,20817,0.758
203,Thomas S. Wootton,High,2100 Wootton Pkwy.,Rockville,20850,0.758
